X11,X12,X21,X22,X31,X32
69.31,43.51,61.24,51.76,44.12,43.15
63.7,54.29,43.73,44.89,62.87,61.32
64.47,74.98,44.5,40.21,58.69,39.86
67.7,21.93,68.93,61.53,58.85,55.28
78.87,53.5,69.95,49.92,62.56,48.58
63.27,38.16,63.31,59.22,28.96,58.35
69.23,78.27,68.01,50.42,61.16,54.22
82.17,57.99,44.27,55.3,57.96,52.43
48.12,52.13,62.36,29.92,60.45,
78.93,68.74,96.29,61.31,45.74,
63.53,44.02,57.48,60.74,70.27,
69.48,37.27,67.01,56.47,60.93,
60.09,59.16,58.39,69.79,49,
72.88,77.22,55.53,49.61,56.79,
70.42,35.9,69.83,66.58,57.91,
77.85,,59.23,36.52,,
56.41,,69.66,39.41,,
67.86,,63.07,58.48,,
66.39,,66.7,57.15,,
67.7,,73.11,43.51,,
,,60.3,51.19,,
,,74.53,41.1,,
,,41,43.06,,
,,46.49,69.16,,
,,75.65,51.25,,
,,,39.84,,
,,,39.53,,
,,,46.03,,
,,,42.05,,
,,,52.55,,
